Ticker,Strategy,Start,End,breakout_lookback,exit_lookback,use_trend_filter,trend_ma_window,atr_period,use_atr_momentum,atr_momentum_mult,breakeven_atr_mult,stop_loss_pct,take_profit_pct,trailing_stop_pct,cooldown_days_after_sl,risk_per_trade_pct,Trades,WinRate,PF,AvgRet,TotalReturn,CAGR,MaxDD,SharpeD,YoY_min,YoY_max,YoY_mean,YoY_neg_years
SEB A,breakout,2024-09-01,2025-09-06,20,10,True,100,14,True,0.8,1.0,0.08,0.15,0.06,14,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,20,10,True,100,14,True,0.8,0.0,0.08,0.2,0.06,0,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,20,10,True,100,14,True,0.8,0.0,0.08,0.12,0.06,0,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,30,10,True,100,14,True,0.5,1.0,0.08,0.2,0.08,0,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,30,10,True,100,14,True,0.8,0.0,0.08,0.12,,0,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,20,10,True,100,14,True,0.8,0.0,0.08,0.15,0.1,0,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,30,10,True,100,14,True,0.8,0.0,0.08,0.12,0.1,14,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,30,10,True,100,14,True,0.5,0.0,0.08,0.15,,14,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,30,10,True,100,14,True,0.5,1.0,0.08,0.12,0.08,14,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,20,10,True,100,14,True,0.8,0.0,0.08,0.12,,0,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,30,10,True,100,14,True,0.5,1.0,0.08,0.2,0.06,14,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,30,10,True,100,14,True,0.8,0.0,0.08,0.15,,0,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,30,10,True,100,14,True,0.8,0.0,0.08,0.15,0.06,14,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
SEB A,breakout,2024-09-01,2025-09-06,30,10,True,100,14,True,0.8,0.0,0.08,0.15,0.1,0,0.5,1,1.0,0.0,0.0008923259964307298,0.001981775109923589,0.001981775109923589,-0.00446393353628316,0.3827752572569392,0.001981775109923589,0.001981775109923589,0.001981775109923589,0
